coverage_id,record_scope,relative_path,extension,size_bytes,sha256,inventory_and_preservation,container_or_manifest_integrity,format_processing,content_specific_check,traceability_check,epistemic_classification_check,visual_review_check,code_reproduction_check,negative_or_limitation_notes,applicable_checks_complete,coverage_state
COV-00022,physical_outer_member,06_INDICES_Y_MANIFIESTOS/METADATA_CANON_MAESTRO.json,.json,445,ac4f1b8970bb1e0da6322b566961c7e0516eef6c927449fe5821cb55aa2fd6c5,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,json_parsed,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00023,physical_outer_member,06_INDICES_Y_MANIFIESTOS/PAQUETES_FUENTE.csv,.csv,4269,2dd72049fd52587107e5e1a5cfb8a180e396e3f9c9950164925fea7ff7a688f2,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,csv_structurally_parsed_not_in_outer_dataset_catalog,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00024,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/00_INICIO/00_LEEME.md,.md,2264,2a0eb1a97ec49258ade05aa082735e5a16dc0e75a21f14422dddfd8f7d3ba6dc,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,markdown_blocks=14,equation_catalog_occurrences_verified=0,claim_candidates_classified=8,NOT_APPLICABLE,NOT_APPLICABLE,negative_catalog_occurrences=3,True,COVERED_WITH_NEGATIVE_OR_LIMITATION
COV-00025,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/00_INICIO/01_ESTADO_CIENTIFICO.md,.md,1135,26770d0fc03e8b746e3e99ecf79d50dcc9aa7095d816f94a5bec35e6c7dd5942,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,markdown_blocks=7,equation_catalog_occurrences_verified=0,claim_candidates_classified=3,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00026,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/01_AXIOMAS_MINIMOS_PROVISIONALES.md,.md,3590,848e58584b61712d7fed38e775aab02cf96f2833cdf52273a7ba027df44b492c,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,markdown_blocks=47,equation_catalog_occurrences_verified=8,claim_candidates_classified=28,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00027,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/02_ONTOLOGIA_CANONICA.md,.md,3831,0e486df72a61177167e3b10571ef4321a05b07cc54a8244577ab7684ce1c714b,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,markdown_blocks=43,equation_catalog_occurrences_verified=4,claim_candidates_classified=28,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00028,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/03_GLOSARIO_CANONICO.csv,.csv,1249,baf7107d9cdd3bb7a72b8e56c5f89008516b696ba793b0c838c3f1b3a46cd0a5,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00029,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/04_MATRIZ_ESTADO_CANONICO.csv,.csv,2998,780c4551704fafa02d324643e10e850a18d3a6afa2bd6194e2c92d4a0e94cc53,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00030,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/02_FORMALISMO_MATEMATICO/01_OBJETOS_MATEMATICOS.md,.md,2435,56fc1521d56cb4b15975c349b5784e3f5ceea61ebaee966ad8b4b2ae202105ee,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,markdown_blocks=48,equation_catalog_occurrences_verified=16,claim_candidates_classified=22,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00031,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/02_FORMALISMO_MATEMATICO/02_ECUACIONES_CLAVE_Y_ESTATUS.csv,.csv,2097,a68154ecddcef663bd67b4ac7755c6edddd41549b303fcef21b2caf77dcbfe52,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00032,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/02_FORMALISMO_MATEMATICO/02_ECUACIONES_CLAVE_Y_ESTATUS.md,.md,2725,751d7b29a783566dd66f897b3b234a52ecbe3f3d8a9efd47434aae190d5f6d08,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,markdown_blocks=85,equation_catalog_occurrences_verified=21,claim_candidates_classified=42,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00033,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/02_FORMALISMO_MATEMATICO/03_CATALOGO_TODAS_ECUACIONES_EXTRAIDAS.csv,.csv,1209939,707782492f4e480f8c1bf65c08363049abf9ba5acf756215ef092af2b9d662e3,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00034,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/02_FORMALISMO_MATEMATICO/03_CATALOGO_TODAS_ECUACIONES_EXTRAIDAS.md,.md,695984,75084de374769a3cf774ec11f1a75001fc591b9b65de9d17a0d32a20ce318d6f,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,markdown_blocks=19100,equation_catalog_occurrences_verified=9303,claim_candidates_classified=216,NOT_APPLICABLE,NOT_APPLICABLE,negative_catalog_occurrences=3; open_doubt_occurrences=1,True,COVERED_WITH_NEGATIVE_OR_LIMITATION
COV-00035,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/03_DERIVACIONES_Y_DEPENDENCIAS/01_MAPA_DE_DERIVACIONES.md,.md,2343,7cf303fe067a904e5226c45cd77a87b05c29109200fc479b50b0528168517712,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,markdown_blocks=11,equation_catalog_occurrences_verified=0,claim_candidates_classified=1,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00036,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/03_DERIVACIONES_Y_DEPENDENCIAS/02_DEPENDENCIAS_CONSOLIDADAS.csv,.csv,10627,9f7f4bad3f1f1fa96e841122fa1d84106b6f2c4ed3f014ad53a1ba0220a7b38e,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00037,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/04_VALIDACION_NUMERICA/00_GUIA_VALIDACIONES.md,.md,1116,8a2ed3d4dcc6a9b42b7de0a747519b341061fc911189d0fd9289b0a6791e64f3,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,markdown_blocks=11,equation_catalog_occurrences_verified=0,claim_candidates_classified=7,NOT_APPLICABLE,NOT_APPLICABLE,negative_catalog_occurrences=1,True,COVERED_WITH_NEGATIVE_OR_LIMITATION
COV-00038,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/04_VALIDACION_NUMERICA/01_METRICAS_POR_BLOQUE.csv,.csv,829,b650b05fffd4f1a9647a9ba0e7aacd23e081e9f6e39b06bd5359029fc93341cb,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00039,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/04_VALIDACION_NUMERICA/01_PRUEBAS_NUMERICAS_MAESTRAS.csv,.csv,244954,95ad52130f6e9753d72843977ee428dbcca89923e01faf11d4d0cb70f3e8b9da,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00040,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/04_VALIDACION_NUMERICA/02_PARAMETROS_MAESTROS.csv,.csv,7515,c550583720508ed7be3b13b75cc63dced9ec5b39406d86e4a2a8b0166ce0cc09,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00041,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/04_VALIDACION_NUMERICA/04_MATRIZ_ESTADO_CANONICO.csv,.csv,2998,780c4551704fafa02d324643e10e850a18d3a6afa2bd6194e2c92d4a0e94cc53,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00042,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/00_SINTESIS.md,.md,1272,873cc8f5359fa0fe828ff765773c1c44c8d72e5547c29a8d8c77fec607ea121b,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,markdown_blocks=4,equation_catalog_occurrences_verified=0,claim_candidates_classified=3,NOT_APPLICABLE,NOT_APPLICABLE,negative_catalog_occurrences=1,True,COVERED_WITH_NEGATIVE_OR_LIMITATION
COV-00043,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/01_CORRECCIONES_CONSOLIDADAS.csv,.csv,8855,eb738299585a7eaa8e17d77291130245a0ada37fe020467db71ba35501d01e18,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00044,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_1_DOCS_01_10__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_01_10.csv,.csv,885,64679343241ddc1c578171aeafea393922ab159d3362b0b03f717830490e29af,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00045,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_1_DOCS_01_10__RESULTADOS_VIGENTES_O_APOYADOS_DOCS_01_10.csv,.csv,10174,7d6d51476eaefd61b6b5574e5b82260c12820936b085d00add1d517a3201fea5,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00046,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_2_DOCS_11_20__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_11_20.csv,.csv,831,46931952f88f9af5a2b9e5901b4adc8a98efa3e8d6a685f87df940dacd66be66,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00047,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_2_DOCS_11_20__RESULTADOS_VIGENTES_O_APOYADOS_DOCS_11_20.csv,.csv,10132,9f0674c3084e5a266d661b9675fba6f082238a0c803de7e53579631cd7b22c7f,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00048,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_3_DOCS_21_30__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_21_30.csv,.csv,530,7e7c8526326e3e946a381b3767bcacd353c05aabe09ebd9e8c85a4c2fa20e12d,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00049,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_3_DOCS_21_30__RESULTADOS_VIGENTES_O_APOYADOS_DOCS_21_30.csv,.csv,11979,d94f39d63b00f0f7ead0f5fc23c4cb74261be261c7b7292f4da8ccd1f5b09923,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00050,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_4_DOCS_31_40__RESULTADOS_NEGATIVOS_DIMENSION_DOCS_31_40.csv,.csv,333,efbc7a3ddb5bd50632239dc5d41e9c3415d5baabbf20aafb5671ab7fd0f218dd,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00051,physical_outer_member,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_4_DOCS_31_40__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,.csv,622,41dd00113fde401c41abdf85067c667d2d2025aaf89fecc9e655f28be1b994c4,COVERED,SOURCE_ZIP_INVENTORY_EXTRACTED_EXACT,COVERED,dataset_catalog_recomputed_exact,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
