claim_id,canon_location,current_claim,primary_source,primary_lines,supporting_source_or_artifact,declared_epistemic_status,audit_trace_status,audit_scope_note,normalized_epistemic_state,external_validation_state,audit_truth_scope
OMEGA-C011,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:60-71,Gravedad inercia y dilatación temporal no son idénticas; serían proyecciones distintas de un origen común.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,3-9,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/04_MATRIZ_ESTADO_CANONICO.csv,apoyada estructuralmente con identidades universales refutadas,traza interna completa,Los modelos separan proxies; no derivan las magnitudes físicas ni el principio de equivalencia.,APOYO_ESTRUCTURAL_IDENTIDAD_UNIVERSAL_REFUTADA_EN_MODELO,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C012,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:75,La flecha ontológica y la termodinámica son distintas.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,3-8,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_19_MEDIDA_CAMINOS_Y_FLECHA_ESTADISTICA/OMEGA_THEORY_V1_1_ENTREGA_19_MEDIDA_CAMINOS_Y_FLECHA_ESTADISTICA/01_DOCUMENTOS/01_DERIVACION_DESDE_ONTOLOGIA.md:3-31,refutada como identidad; separación apoyada/derivada bajo condiciones,traza interna completa,La segunda ley requiere medida reversa soporte mezcla y condición inicial.,IDENTIDAD_REFUTADA_EN_MODELO_SEPARACION_CONDICIONALMENTE_APOYADA,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C013,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:77-83,S_gen=ln|Pi^-1(M)| cuantifica ocultamiento pero no es monótona para el macroestado presente.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/01_DOCUMENTOS/01_DERIVACION_DESDE_ONTOLOGIA.md,3-24,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/02_PRUEBAS_NUMERICAS/TEST_04_MONOTONIA.csv,definida y verificada numéricamente; monotonicidad refutada,traza interna completa,Es entropía de ocultamiento del modelo; no queda identificada con entropía termodinámica física.,DEFINICION_Y_VERIFICACION_NUMERICA_MONOTONICIDAD_REFUTADA,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C014,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:87-93,C[gamma]=-ln P[gamma] es un costo aditivo adimensional.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/01_DOCUMENTOS/01_DERIVACION_DESDE_ONTOLOGIA.md,3-27,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/02_PRUEBAS_NUMERICAS/TEST_02_IDENTIDADES_CANONICAS.csv,derivada por definición y propiedad logarítmica,traza interna completa,La aditividad es interna a la medida de caminos; no lo convierte en energía.,DERIVACION_DEFINICIONAL_ADIMENSIONAL,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C015,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:93,La energía física no se identifica automáticamente con sorpresa obstrucción o Q_Omega.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,3-9,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_21_ESCALA_OPERACIONAL_ENERGIA/OMEGA_THEORY_V1_1_ENTREGA_21_ESCALA_OPERACIONAL_ENERGIA/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md:3-9,identidad universal refutada/no derivada,traza interna completa,Hay contraejemplos internos y libertad de escala.,IDENTIDAD_UNIVERSAL_REFUTADA_O_NO_DERIVADA,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C016,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:95-101,Si energía es continua extensiva y el generador omega es aditivo entonces E=kappa_Omega omega.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_21_ESCALA_OPERACIONAL_ENERGIA/OMEGA_THEORY_V1_1_ENTREGA_21_ESCALA_OPERACIONAL_ENERGIA/01_DOCUMENTOS/05_TEOREMA_GENERADOR_ENERGIA.md,3-19,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_21_ESCALA_OPERACIONAL_ENERGIA/OMEGA_THEORY_V1_1_ENTREGA_21_ESCALA_OPERACIONAL_ENERGIA/02_PRUEBAS_NUMERICAS/TEST_02_ADITIVIDAD_ENERGIA_FRECUENCIA.csv,derivada condicionalmente hasta constante multiplicativa,traza interna completa,Es solución de una ecuación funcional bajo hipótesis de continuidad extensividad y aditividad.,TEOREMA_FUNCIONAL_CONDICIONAL_HASTA_CONSTANTE,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C017,04_AUDITORIA_Y_ESTATUS/01_ESTADOS_EPISTEMOLOGICOS.md:28,alpha=q^2 w/(4 pi K) es candidato de origen para la estructura fina pero su valor exacto no está derivado.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,3-9,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/02_PRUEBAS_NUMERICAS/TEST_04_ACOPLAMIENTO_EFECTIVO.csv,hipótesis exploratoria/valor no derivado,traza interna completa,La fórmula depende de q w y K elegidos y no fija la constante observada.,HIPOTESIS_EXPLORATORIA_VALOR_NO_DERIVADO,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C018,04_AUDITORIA_Y_ESTATUS/01_ESTADOS_EPISTEMOLOGICOS.md:29,El principio de equivalencia no está derivado universalmente.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,3-9,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/01_DOCUMENTOS/02_RESULTADOS_NUMERICOS.md:130-140,no derivada universalmente,traza interna completa,La igualdad puede imponerse por construcción; los modos relativos producen violaciones del proxy.,NO_DERIVADA_UNIVERSALMENTE,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C019,04_AUDITORIA_Y_ESTATUS/01_ESTADOS_EPISTEMOLOGICOS.md:30-31,Q_Omega=energía y entropía genealógica=entropía termodinámica son identidades universales refutadas.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,3-9,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md:3-8,refutada en el modelo,traza interna completa,La refutación se refiere a identidades estrictas dentro de los modelos auditados; no es una prueba experimental.,IDENTIDADES_REFUTADAS_EN_MODELOS_NO_EXPERIMENTALMENTE,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C020,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:101,No se han derivado hbar k_B temperatura física absoluta ni escala energética elemental.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_21_ESCALA_OPERACIONAL_ENERGIA/OMEGA_THEORY_V1_1_ENTREGA_21_ESCALA_OPERACIONAL_ENERGIA/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,3-9,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/01_DOCUMENTOS/05_TEOREMA_CANONICO_CONDICIONAL.md:31,no derivada,traza interna completa,El canon conserva explícitamente la libertad de escala y la falta de termometría operacional.,ESCALAS_Y_CONSTANTES_NO_DERIVADAS,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
