verdict_id,package,source_file,claim_or_scenario,original_status,normalized_epistemic_state,reason_or_correction,audit_note
V-0011,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_5_DOCS_41_50__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Rango 3 óptimo universal,condicional,CONDICIONAL,Sólo aparece para ciertos costos,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0012,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_5_DOCS_41_50__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Sectores 1+3+5 son campos físicos,limitado,LIMITADA_O_CONVENCIONAL,Es sólo descomposición algebraica,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0013,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_5_DOCS_41_50__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Toy de adyacencia deriva Einstein,no derivado,DERIVADA_O_EXACTA_EN_SU_MARCO,Sólo muestra respuesta geométrica cualitativa,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0014,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_5_DOCS_41_50__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Isotropía exacta microscópica,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Se rompe a alta k,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0015,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_5_DOCS_41_50__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Semigrupo prohíbe agujero blanco,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,Sólo vuelve inestable la inversión reducida,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0016,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_5_DOCS_41_50__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,No unitariedad fundamental,superado,REVISADA_REEMPLAZADA_O_SUPERADA,La dinámica global puede seguir unitaria,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0017,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_5_DOCS_41_50__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Colapso irreversible fundamental,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,Irreversibilidad surge al ignorar ancillas,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0018,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_5_DOCS_41_50__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Espectro exactamente térmico,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Sólo es térmico localmente en omega pequeña,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0019,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69__RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,I=f(p),superado,REVISADA_REEMPLAZADA_O_SUPERADA,"igual p, distinta I",NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0020,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69__RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,1D implica masa,superado,REVISADA_REEMPLAZADA_O_SUPERADA,puede ser gapless,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0021,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69__RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,orientación genera masa,superado,REVISADA_REEMPLAZADA_O_SUPERADA,sigue gapless,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0022,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69__RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,holonomía fija da masa finita,superado,REVISADA_REEMPLAZADA_O_SUPERADA,E~1/n,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0023,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69__RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,una protección basta,superado,REVISADA_REEMPLAZADA_O_SUPERADA,A/B/C resuelven problemas distintos,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0024,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69__RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,más identidad siempre estabiliza,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,puede aumentar escapes definidos,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0025,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69__RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,proxies Omega suficientes,superado cuantitativamente,REVISADA_REEMPLAZADA_O_SUPERADA,peores que Z/sqrtQ,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0026,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69__RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,término dominante basta,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,requiere extremo/identidad/curvatura,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0027,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_1_V61_V69__RESULTADOS_SUPERADOS_O_REFINADOS_V61_V69.csv,perfil micro supera forma efectiva,refutado,REFUTADA_O_NO_APOYADA_EN_MODELO,queda peor que v68,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0028,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79__RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Preformación explicada por composición,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,La mejora es modesta y proxies de capa no son universales.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0029,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79__RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Frontera global mejora cierre,refutado como universal,REFUTADA_O_NO_APOYADA_EN_MODELO,El cierre duro/ponderado aislado empeora LOOCV.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0030,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79__RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Identidad = mismo objeto/material,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Se redefine como red histórica en una naturaleza.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0031,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79__RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Identidad = atractor fijo,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Gas es estadístico; estrella variedad lenta; metal jerárquico.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0032,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79__RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Baja puntuación = muerte,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Puede haber costo de retorno finito.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0033,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79__RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Alta potencialidad radiativa implica límite energético,superado,REVISADA_REEMPLAZADA_O_SUPERADA,No; sólo exclusividad y finitud producen límite duro.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0034,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79__RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Un régimen de ocupación universal,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Ninguno reproduce todo; se favorece mezcla.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0035,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79__RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Capacidad q_i fundamental,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,Puede emerger de d_i subcanales exclusivos.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0036,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79__RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Cierre 4pi implica exclusión,refutado,REFUTADA_O_NO_APOYADA_EN_MODELO,Son variables independientes.,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0037,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_2_V70_V79__RESULTADOS_SUPERADOS_O_REFINADOS_V70_V79.csv,Dos intercambios = rotación 2pi,refutado,REFUTADA_O_NO_APOYADA_EN_MODELO,"Produce ±i para cierre semientero, no -1.",NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0038,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_3_V80_V86__RESULTADOS_SUPERADOS_O_REFINADOS_V80_V86.csv,Cualquier fase unitaria sirve para intercambio,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Intercambio involutivo exige eta²=1,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0039,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_3_V80_V86__RESULTADOS_SUPERADOS_O_REFINADOS_V80_V86.csv,Positividad/localidad seleccionan bosón o fermión,refutado,REFUTADA_O_NO_APOYADA_EN_MODELO,Ambos sectores son consistentes,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0040,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_3_V80_V86__RESULTADOS_SUPERADOS_O_REFINADOS_V80_V86.csv,Cadena causal finita selecciona espín–estadística,refutado,REFUTADA_O_NO_APOYADA_EN_MODELO,Las cuatro combinaciones sobreviven,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0041,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_3_V80_V86__RESULTADOS_SUPERADOS_O_REFINADOS_V80_V86.csv,Una amplitud escalar basta para propagación bidireccional,refutado,REFUTADA_O_NO_APOYADA_EN_MODELO,No existe solución local unitaria exacta de radio uno,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0042,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_3_V80_V86__RESULTADOS_SUPERADOS_O_REFINADOS_V80_V86.csv,Tres direcciones masivas caben en C²,refutado,REFUTADA_O_NO_APOYADA_EN_MODELO,Hace falta dimensión interna cuatro,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0043,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_3_V80_V86__RESULTADOS_SUPERADOS_O_REFINADOS_V80_V86.csv,τ+ y τ- son dos identidades independientes,refutado,REFUTADA_O_NO_APOYADA_EN_MODELO,Cada sector aislado pierde propagación e información,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0044,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_MODERNA_FASE_3_V80_V86__RESULTADOS_SUPERADOS_O_REFINADOS_V80_V86.csv,Conjugación libre ya es antimateria física,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,Sólo es orientación complementaria hasta introducir carga,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
