doubt_id,package,file,line,text,evidence_layer,state,independence_note
D-0015,OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,3,## ODG-008 — ¿Qué llamamos “inercia”?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0016,OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,15,## ODG-009 — ¿Qué destruye una identidad compuesta?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0017,OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,26,## ODG-010 — Tiempo propio,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0018,OMEGA_THEORY_V1_1_ENTREGA_03_RELOJ_EMERGENTE,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_03_RELOJ_EMERGENTE/OMEGA_THEORY_V1_1_ENTREGA_03_RELOJ_EMERGENTE/01_DOCUMENTOS/04_DUDA_ONTOLOGICA_TICK.md,3,## ODG-011 — ¿Qué es un tick?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0019,OMEGA_THEORY_V1_1_ENTREGA_04_RELOJES_OPERACIONALES,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_04_RELOJES_OPERACIONALES/OMEGA_THEORY_V1_1_ENTREGA_04_RELOJES_OPERACIONALES/01_DOCUMENTOS/04_DUDA_ONTOLOGICA.md,1,# Duda ontológica ODG-011 refinada,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0020,OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES/OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,3,## ODG-012 — ¿Por qué una trayectoria extrema el reloj?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0021,OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES/OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,13,## ODG-013 — ¿Existe una velocidad causal universal?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0022,OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES/OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,17,## ODG-014 — Universalidad de relojes,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0023,OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES/OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,25,## ODG-015 — Fuente del campo de reloj,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0024,OMEGA_THEORY_V1_1_ENTREGA_06_ECUACION_FUENTE_RELOJ,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_06_ECUACION_FUENTE_RELOJ/OMEGA_THEORY_V1_1_ENTREGA_06_ECUACION_FUENTE_RELOJ/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,3,## ODG-016 ¿Qué conserva el flujo \(\mathbf J_\Omega\)?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0025,OMEGA_THEORY_V1_1_ENTREGA_06_ECUACION_FUENTE_RELOJ,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_06_ECUACION_FUENTE_RELOJ/OMEGA_THEORY_V1_1_ENTREGA_06_ECUACION_FUENTE_RELOJ/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,8,## ODG-017 ¿Qué constituye la fuente \(S_\Omega\)?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0026,OMEGA_THEORY_V1_1_ENTREGA_06_ECUACION_FUENTE_RELOJ,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_06_ECUACION_FUENTE_RELOJ/OMEGA_THEORY_V1_1_ENTREGA_06_ECUACION_FUENTE_RELOJ/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,13,## ODG-018 ¿Puede la fuente tener signo opuesto?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0027,OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA/OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,3,## ODG-020 ¿Qué representa la medida \(\mu_e\)?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0028,OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA/OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,8,## ODG-021 ¿La tasa genera el costo o el costo genera la tasa?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0029,OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA/OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,13,## ODG-022 ¿La fuente activa y la masa inercial son la misma carga?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0030,OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA/OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,18,"## ODG-023 Una carga negativa requeriría una obstrucción relativa negativa, es decir una tasa mayor que la referencia. No debe identificarse aún con antimateria.",FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0031,OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,3,## ODG-024 — ¿Qué parte de la inercia corresponde a la masa física?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0032,OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,13,## ODG-025 — ¿Debe la equivalencia ser exacta?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0033,OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,19,## ODG-026 — ¿La masa es escalar?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0034,OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,23,## ODG-027 — ¿Cuál es el coarse-graining físico?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0035,OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA/OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,3,## ODG-028 ¿Pertenecer a una única continuidad obliga a \(q_e=1\) para toda actualización?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0036,OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA/OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,6,## ODG-029 ¿Las fuerzas distintas corresponden a campos distintos o a representaciones internas distintas del mismo campo?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0037,OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA/OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,9,## ODG-030 ¿Qué fija la rigidez \(K\)?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0038,OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA/OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,12,"## ODG-031 ¿Qué condición global —topología, cierre, representación mínima o punto fijo— podría seleccionar un valor único para \(\alpha\)?",FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0039,OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,3,"## ODG-032 ¿La fase local representa orientación de la continuidad, identidad interna o pura comparación relacional?",FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0040,OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,6,## ODG-033 ¿Qué fija \(w_{ij}\)?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0041,OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,11,## ODG-034 ¿Qué fija \(K\)?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0042,OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,16,## ODG-035 ¿Existe un flujo mínimo ontológico?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0043,OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,21,"## ODG-036 ¿El campo universal \(u\) modula \(w\), \(K\), ambos o sólo la tasa temporal?",FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0044,OMEGA_THEORY_V1_1_ENTREGA_11_CAMPO_UNIVERSAL_Y_VARIACION_ALPHA,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_11_CAMPO_UNIVERSAL_Y_VARIACION_ALPHA/OMEGA_THEORY_V1_1_ENTREGA_11_CAMPO_UNIVERSAL_Y_VARIACION_ALPHA/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,3,## ODG-036 refinada,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0045,OMEGA_THEORY_V1_1_ENTREGA_11_CAMPO_UNIVERSAL_Y_VARIACION_ALPHA,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_11_CAMPO_UNIVERSAL_Y_VARIACION_ALPHA/OMEGA_THEORY_V1_1_ENTREGA_11_CAMPO_UNIVERSAL_Y_VARIACION_ALPHA/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,9,## ODG-037,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
